Район,Тип,Дата и время  пожара 
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-10-27 09:30:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-10-28 10:45:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-10-28 13:35:00
Сивинский МО,Аварии на электроэнергетических системах ,2015-10-28 15:00:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-10-29 07:10:00
ГО город Березники ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-10-30 22:00:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2015-10-30 23:40:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-10-31 06:20:00
Суксунский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-01 11:20:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-01 16:40:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-11-02 20:11:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-11-03 01:59:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-11-03 11:30:00
Пермский ГО ,Пожары повышенного номера ,2015-11-03 16:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-03 17:00:00
Сивинский МО,Аварии на электроэнергетических системах ,2015-11-04 20:55:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-11-05 02:00:00
ГО город Кизел ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-05 09:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-05 10:00:00
Чусовской ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-05 14:20:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2015-11-06 06:22:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-11-06 13:00:00
Краснокамский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2015-11-07 13:45:00
Сивинский МО,Аварии на электроэнергетических системах ,2015-11-07 17:56:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-11-08 13:10:00
Пермский ГО ,"Внезапное обрушение зданий, сооружений, пород ",2015-11-08 16:29:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-09 10:45:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-09 11:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-09 11:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-11-09 12:15:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-10 17:40:00
Горнозаводский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-11 16:00:00
Александровский МО ,Аварии на электроэнергетических системах ,2015-11-12 09:30:00
Кудымкарский МО ,Аварии на электроэнергетических системах ,2015-11-12 12:45:00
Чердынский ГО,Аварии на электроэнергетических системах ,2015-11-12 14:56:00
Пермский ГО ,Аварии с выбросом или сбросом (угрозой выброса) АХОВ ,2015-11-13 17:00:00
Пермский МО ,Пожары повышенного номера ,2015-11-15 22:50:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-11-17 07:40:00
Пермский ГО ,Аварии с выбросом или сбросом (угрозой выброса) АХОВ ,2015-11-17 14:14:00
Чернушинский ГО ,Аварии на внутрипромысловых нефтепроводах ,2015-11-19 01:20:00
Чернушинский ГО ,Отравления людей ,2015-11-19 08:15:00
Красновишерский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-20 10:08:00
Сивинский МО,Аварии на электроэнергетических системах ,2015-11-20 14:04:00
Верещагино ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-21 23:10:00
Бардымский МО ,Аварии на электроэнергетических системах ,2015-11-22 03:30:00
Пермский ГО ,Отравления людей ,2015-11-22 14:35:00
Добрянский ГО ,"Транспортные катастрофы и аварии на мостах, переправах, на ж/д переездах ",2015-11-22 18:40:00
Чайковский ГО ,Аварии на электроэнергетических системах ,2015-11-22 22:20:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-11-23 09:20:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-11-23 12:00:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-11-24 09:30:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-11-24 10:40:00
Лысьвенский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-24 10:45:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-24 16:30:00
Пермский ГО ,Отравления людей ,2015-11-25 11:00:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-11-25 21:05:00
Александровский МО ,Аварии на электроэнергетических системах ,2015-11-26 18:45:00
ГО город Березники ,Пожар с гибелью 2-х и более человек ,2015-11-26 22:50:00
Краснокамский ГО ,Аварии на электроэнергетических системах ,2015-11-27 20:33:00
Александровский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-28 11:35:00
Пермский МО ,Аварии на внутрипромысловых нефтепроводах ,2015-11-28 13:40:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-29 07:06:00
Очерский ГО ,Аварии на электроэнергетических системах ,2015-11-29 14:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-11-30 00:50:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-11-30 11:45:00
Пермский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2015-11-30 14:45:00
Кишертский МО,Аварии на электроэнергетических системах ,2015-12-01 09:45:00
ГО город Березники ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2015-12-01 10:35:00
Пермский МО ,Пожары повышенного номера ,2015-12-01 17:05:00
Карагайский МО ,Аварии на электроэнергетических системах ,2015-12-03 15:40:00
ГО город Кизел ,Аварии на электроэнергетических системах ,2015-12-05 08:10:00
Куединский МО ,Аварии на электроэнергетических системах ,2015-12-07 15:40:00
Чернушинский ГО ,Аварии на электроэнергетических системах ,2015-12-07 17:01:00
Уинский МО ,Аварии на электроэнергетических системах ,2015-12-07 17:10:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2015-12-07 17:15:00
Краснокамский ГО ,Аварии на электроэнергетических системах ,2015-12-07 18:31:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2015-12-07 19:14:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-12-07 19:30:00
Куединский МО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2015-12-08 01:49:00
Пермский МО ,Аварии на электроэнергетических системах ,2015-12-08 05:00:00
Кудымкарский МО ,Загрязнения окружающей среды ,2015-12-08 12:03:00
Кишертский МО,Аварии на электроэнергетических системах ,2015-12-10 11:30:00
Очерский ГО ,"Внезапное обрушение зданий, сооружений, пород ",2015-12-10 14:07:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-12-10 14:48:00
Добрянский ГО ,Аварии на электроэнергетических системах ,2015-12-10 17:05:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2015-12-11 09:39:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-12-11 15:10:00
Александровский МО ,Аварии на электроэнергетических системах ,2015-12-12 00:10:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-12-12 15:00:00
Губахинский МО ,Пожары повышенного номера ,2015-12-13 06:20:00
Пермский ГО ,Аварии на электроэнергетических системах ,2015-12-14 15:35:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-12-15 10:30:00
Губахинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-12-15 11:15:00
Частинский МО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2015-12-16 00:37:00
Лысьвенский ГО ,Аварии на электроэнергетических системах ,2015-12-17 02:03:00
Очерский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-12-17 04:05:00
Нытвенский ГО ,Пожары повышенного номера ,2015-12-17 23:25:00
Краснокамский ГО ,Пожары на объектах торговли ,2015-12-18 07:37:00
Пермский МО ,Аварии на электроэнергетических системах ,2015-12-18 10:20:00
Пермский ГО ,Пожары на объектах торговли ,2015-12-19 07:13:00
Пермский ГО ,Аварии на электроэнергетических системах ,2015-12-19 17:40:00
Пермский МО ,Аварии на электроэнергетических системах ,2015-12-20 08:50:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-12-21 17:30:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-12-22 09:00:00
Карагайский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2015-12-22 12:13:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-12-22 16:00:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-12-23 07:30:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-12-23 08:50:00
Губахинский МО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2015-12-23 10:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-12-23 11:30:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-12-23 14:05:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2015-12-23 14:55:00
Кишертский МО,Аварии на электроэнергетических системах ,2015-12-23 15:00:00
Александровский МО ,Аварии на электроэнергетических системах ,2015-12-23 15:50:00
ГО город Кизел ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-12-25 15:45:00
Александровский МО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2015-12-27 11:20:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2015-12-27 13:25:00
Косинский МО,Аварии на электроэнергетических системах ,2015-12-27 17:20:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-12-27 18:25:00
Кочевский МО ,Аварии на электроэнергетических системах ,2015-12-27 22:43:00
Юрлинский МО ,Аварии на электроэнергетических системах ,2015-12-28 06:25:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-12-28 07:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-12-28 09:20:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2015-12-28 12:50:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2015-12-29 14:55:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-12-29 15:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2015-12-29 16:10:00
Чайковский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-12-29 22:35:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-12-30 08:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-12-30 15:15:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-12-30 18:30:00
Лысьвенский ГО ,Аварии на электроэнергетических системах ,2015-12-31 06:25:00
Кудымкарский МО ,Аварии на электроэнергетических системах ,2015-12-31 06:32:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2015-12-31 07:15:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-12-31 08:50:00
Кочевский МО ,Аварии на электроэнергетических системах ,2015-12-31 22:00:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-01 11:00:00
ГО город Березники ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-02 10:30:00
Краснокамский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2016-01-02 14:22:00
Кунгурский МО ,Пожары повышенного номера ,2016-01-02 19:40:00
Гайнский МО,Аварии на электроэнергетических системах ,2016-01-03 15:50:00
Чусовской ГО ,Пожар с гибелью 2-х и более человек ,2016-01-03 22:15:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-03 23:20:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2016-01-04 03:10:00
Оханский ГО ,Аварии на электроэнергетических системах ,2016-01-04 07:50:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2016-01-04 10:20:00
Сивинский МО,Аварии на электроэнергетических системах ,2016-01-04 11:31:00
Косинский МО,Аварии на электроэнергетических системах ,2016-01-04 15:15:00
Добрянский ГО ,Аварии на электроэнергетических системах ,2016-01-04 22:35:00
Александровский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-01-05 00:30:00
Ильинский ГО ,Пожар с гибелью 2-х и более человек ,2016-01-06 17:10:00
Чернушинский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-01-06 19:15:00
Чайковский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-07 23:35:00
Юрлинский МО ,Аварии на электроэнергетических системах ,2016-01-08 07:00:00
Гайнский МО,Аварии на электроэнергетических системах ,2016-01-08 07:33:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-08 09:50:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-08 13:00:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2016-01-08 15:57:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2016-01-09 07:07:00
Косинский МО,Аварии на электроэнергетических системах ГВС,2016-01-09 07:25:00
Юрлинский МО ,Аварии на электроэнергетических системах ,2016-01-09 09:50:00
Пермский ГО ,Пожары повышенного номера ,2016-01-09 20:16:00
Сивинский МО,Аварии на электроэнергетических системах ,2016-01-10 02:00:00
Куединский МО ,Пожары повышенного номера ,2016-01-10 11:05:00
Юрлинский МО ,Аварии на электроэнергетических системах ,2016-01-10 11:20:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-11 07:00:00
Кочевский МО ,Аварии на электроэнергетических системах ,2016-01-11 08:50:00
Красновишерский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-11 10:00:00
Гайнский МО,Аварии на электроэнергетических системах ,2016-01-11 10:04:00
ЗАТО Звездный ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-01-12 00:45:00
Пермский ГО ,Загрязнения окружающей среды ,2016-01-12 02:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-01-12 06:30:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-12 09:00:00
Кочевский МО ,Аварии на электроэнергетических системах ,2016-01-13 04:54:00
Пермский ГО ,Загрязнения окружающей среды ,2016-01-13 16:00:00
Пермский МО ,Аварии на электроэнергетических системах ,2016-01-14 04:55:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-01-14 09:50:00
Кунгурский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2016-01-15 18:20:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-01-16 09:50:00
Ильинский ГО ,Аварии на электроэнергетических системах ,2016-01-16 21:30:00
Кочевский МО ,Аварии на электроэнергетических системах ,2016-01-16 22:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-17 13:00:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2016-01-17 13:45:00
Юрлинский МО ,Аварии на электроэнергетических системах ,2016-01-18 04:25:00
Частинский МО ,Аварии на электроэнергетических системах ,2016-01-18 06:41:00
Чусовской ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2016-01-18 11:18:00
Гайнский МО,Аварии на электроэнергетических системах ,2016-01-18 17:30:00
Суксунский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2016-01-18 23:00:00
Кунгурский МО ,Пожары повышенного номера ,2016-01-19 00:15:00
Гайнский МО,Аварии на электроэнергетических системах ,2016-01-19 15:40:00
Частинский МО ,Аварии на электроэнергетических системах ,2016-01-20 07:22:00
Косинский МО,Аварии на электроэнергетических системах ,2016-01-20 07:40:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2016-01-20 08:20:00
Ильинский ГО ,Аварии на электроэнергетических системах ,2016-01-20 09:10:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2016-01-20 09:23:00
Гайнский МО,Аварии на электроэнергетических системах ,2016-01-21 06:20:00
Губахинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-21 08:35:00
Чайковский ГО ,Аварии на электроэнергетических системах ,2016-01-21 09:20:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2016-01-22 01:50:00
Кочевский МО ,Аварии на электроэнергетических системах ,2016-01-22 04:40:00
Пермский МО ,Отравления людей ,2016-01-22 12:45:00
Пермский МО ,Аварии на электроэнергетических системах ,2016-01-23 18:56:00
Верещагинский ГО,"Пожары на транспортных средствах (ж/д, водный, автомобильный, воздушный) ",2016-01-24 06:50:00
Частинский МО ,Аварии на электроэнергетических системах ,2016-01-24 11:15:00
Пермский ГО ,Аварии на электроэнергетических системах ,2016-01-24 21:00:00
Александровский МО ,Аварии на электроэнергетических системах ,2016-01-25 12:50:00
Карагайский МО ,Аварии на электроэнергетических системах ,2016-01-27 07:00:00
Соликамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-27 17:10:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-28 06:10:00
Чайковский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-28 13:55:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-29 14:40:00
Соликамский ГО ,"Внезапное обрушение зданий, сооружений, пород ",2016-01-30 15:45:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-01-30 16:10:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-02-01 09:30:00
ГО город Березники ,Аварии на электроэнергетических системах Теплоснабжение,2016-02-01 10:30:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2016-02-01 12:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-01 12:58:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-01 23:00:00
Чайковский ГО ,Аварии на электроэнергетических системах ,2016-02-01 23:55:00
ГО город Березники ,Аварии на электроэнергетических системах ,2016-02-03 02:30:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2016-02-03 07:54:00
Косинский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-03 09:00:00
Краснокамский ГО ,Аварии на электроэнергетических системах ,2016-02-03 17:00:00
Уинский МО ,Аварии на электроэнергетических системах ,2016-02-04 14:00:00
Частинский МО ,Аварии на электроэнергетических системах ,2016-02-04 20:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-02-05 07:30:00
Частинский МО ,Аварии на электроэнергетических системах ,2016-02-05 09:11:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-05 11:05:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-05 11:30:00
Оханский ГО ,Аварии на электроэнергетических системах ,2016-02-05 20:29:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-06 23:00:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2016-02-08 09:38:00
Пермский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2016-02-08 21:25:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-02-09 07:27:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2016-02-09 13:12:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-09 18:50:00
Уинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-11 10:36:00
Карагайский МО ,Пожары на объектах сельскохозяйственного назначения ,2016-02-12 02:18:00
Горнозаводский ГО ,Аварии на электроэнергетических системах ,2016-02-12 22:57:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-13 10:35:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-14 22:21:00
Пермский МО ,Пожары повышенного номера ,2016-02-15 13:05:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-02-15 21:15:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-02-15 22:40:00
Пермский МО ,"Транспортные катастрофы и аварии на мостах, переправах, на ж/д переездах ",2016-02-17 05:05:00
Горнозаводский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-18 14:30:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-20 08:20:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-21 11:40:00
Губахинский МО ,Пожар с гибелью 2-х и более человек ,2016-02-21 13:42:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2016-02-21 18:05:00
Чусовской ГО ,"Внезапное обрушение зданий, сооружений, пород ",2016-02-21 19:00:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2016-02-22 08:09:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2016-02-22 10:56:00
Соликамский ГО ,Аварии на электроэнергетических системах ГВС,2016-02-25 19:35:00
Гайнский МО,Аварии на электроэнергетических системах ,2016-02-26 07:23:00
Оханский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-02-26 12:30:00
Пермский ГО ,"Внезапное обрушение зданий, сооружений, пород ",2016-02-26 13:05:00
Пермский ГО ,"Внезапное обрушение зданий, сооружений, пород ",2016-02-26 16:32:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-27 09:50:00
ГО город Березники ,"Внезапное обрушение зданий, сооружений, пород ",2016-02-27 11:15:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2016-02-28 14:25:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2016-02-28 15:58:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-02-28 22:30:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-02-29 11:45:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2016-03-01 13:40:00
Краснокамский ГО ,Загрязнения окружающей среды ,2016-03-03 15:15:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2016-03-05 16:00:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2016-03-06 01:11:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2016-03-06 09:24:00
Александровский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-03-09 16:30:00
Уинский МО ,Пожар с гибелью 2-х и более человек ,2016-03-09 23:30:00
Октябрьский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-03-10 09:00:00
Пермский ГО ,Загрязнения окружающей среды ,2016-03-10 12:20:00
Кунгурский МО ,Перерыв в движении на главных магистралей ,2016-03-11 11:30:00
Чайковский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-03-11 18:30:00
Бардымский МО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2016-03-12 07:30:00
Чайковский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-03-14 00:00:00
Чайковский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-03-16 09:30:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-03-16 13:15:00
Суксунский ГО ,Перерыв в движении на главных магистралей ,2016-03-19 17:00:00
Осинский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-03-21 09:15:00
Губахинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-03-22 22:10:00
Добрянский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2016-03-23 17:40:00
ГО город Кизел ,Загрязнения окружающей среды ,2016-03-25 11:50:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-03-26 11:00:00
Горнозаводский ГО ,"Внезапное обрушение зданий, сооружений, пород ",2016-03-27 14:00:00
Пермский МО ,Загрязнения окружающей среды ,2016-03-27 17:20:00
Пермский ГО ,Аварии на электроэнергетических системах ,2016-03-28 19:00:00
Бардымский МО ,Аварии на электроэнергетических системах ,2016-03-30 13:59:00
Соликамский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2016-03-31 07:17:00
Чернушинский ГО ,Загрязнения окружающей среды ,2016-03-31 10:30:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2016-03-31 14:56:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-04-01 09:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-04-01 11:40:00
Чердынский ГО ,Пожары повышенного номера ,2016-04-04 04:40:00
Кишертский МО,Аварии на электроэнергетических системах ,2016-04-04 09:50:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-04-04 12:30:00
Пермский ГО ,"Внезапное обрушение зданий, сооружений, пород ",2016-04-04 19:40:00
Березовский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-04-06 10:55:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-04-06 13:40:00
Пермский МО ,Половодье ,2016-04-06 16:20:00
Чайковский ГО ,Аварии на электроэнергетических системах ,2016-04-06 21:40:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2016-04-07 16:30:00
Кунгурский МО ,"Аварии на коммунальных системах жизнеобеспечения Водозаборы, очистные сооружени",2016-04-07 18:00:00
Пермский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2016-04-08 13:55:00
Пермский ГО ,Загрязнения окружающей среды ,2016-04-08 22:00:00
Соликамский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2016-04-08 23:20:00
Еловский МО ,Аварии на электроэнергетических системах ,2016-04-09 10:35:00
Пермский ГО ,Загрязнения окружающей среды ,2016-04-10 19:27:00
Добрянский ГО ,Аварии на электроэнергетических системах ,2016-04-10 20:00:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2016-04-10 20:19:00
Пермский МО ,Половодье ,2016-04-11 12:00:00
Пермский МО ,Половодье ,2016-04-11 12:30:00
Пермский МО ,Загрязнения окружающей среды ,2016-04-11 15:30:00
Кунгурский МО ,"Аварии на коммунальных системах жизнеобеспечения Водозаборы, очистные сооружени",2016-04-11 16:50:00
Верещагинский ГО,Половодье ,2016-04-12 13:00:00
Октябрьский ГО ,"Аварии на коммунальных системах жизнеобеспечения Водозаборы, очистные сооружени",2016-04-12 14:00:00
Кунгурский МО ,Половодье ,2016-04-12 14:00:00
Кунгурский МО ,Половодье ,2016-04-12 14:40:00
Добрянский ГО ,Половодье ,2016-04-12 17:56:00
ГО город Березники ,"Обнаружение неразорвавшихся боеприпасов, взрывчатых веществ ",2016-04-14 09:03:00
