Район,Тип,Дата и время  пожара 
Кудымкарский МО ,Аварии на электроэнергетических системах ,2015-01-23 05:30:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-01-23 15:00:00
Частинский МО ,Аварии на электроэнергетических системах ,2015-01-24 12:07:00
Добрянский ГО ,Аварии на электроэнергетических системах ,2015-01-25 20:05:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2015-01-26 18:00:00
Кунгурский МО ,"Пожары на магистральных газо-, нефте-, продуктопроводах ",2015-01-28 21:03:00
Кунгурский МО ,"Аварии на магистральных газо-, нефте-, продукто-проводах ",2015-01-28 23:03:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-01-29 10:00:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2015-01-29 15:50:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-01-29 20:00:00
Чайковский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-01-31 13:50:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-02-01 11:40:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-02-01 23:12:00
Чердынский ГО,Аварии на электроэнергетических системах ,2015-02-02 01:30:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-02-02 03:45:00
Осинский ГО ,Аварии на электроэнергетических системах ,2015-02-02 08:45:00
Юрлинский МО ,Аварии на электроэнергетических системах ,2015-02-02 08:50:00
Чайковский ГО ,Аварии на электроэнергетических системах ,2015-02-02 13:25:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-02-02 15:22:00
Верещагинский ГО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-02 16:15:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-02 17:40:00
Чайковский ГО ,Аварии на электроэнергетических системах ,2015-02-02 19:30:00
Большесосновский МО ,Аварии на электроэнергетических системах ,2015-02-02 19:55:00
Еловский МО ,Аварии на электроэнергетических системах ,2015-02-02 20:15:00
Чусовской ГО ,Аварии на электроэнергетических системах ,2015-02-02 20:28:00
Очерский ГО ,Аварии на электроэнергетических системах ,2015-02-02 20:35:00
Куединский МО ,Аварии на электроэнергетических системах ,2015-02-02 20:45:00
Осинский ГО ,Аварии на электроэнергетических системах ,2015-02-02 20:45:00
Оханский ГО ,Аварии на электроэнергетических системах ,2015-02-02 20:45:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2015-02-02 20:56:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2015-02-02 21:20:00
Бардымский МО ,Аварии на электроэнергетических системах ,2015-02-02 21:20:00
Краснокамский ГО ,Аварии на электроэнергетических системах ,2015-02-02 21:21:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-02-02 21:25:00
Нытвенский ГО ,Аварии на электроэнергетических системах ,2015-02-02 22:00:00
Частинский МО ,Аварии на электроэнергетических системах ,2015-02-02 22:30:00
Октябрьский ГО ,Аварии на электроэнергетических системах ,2015-02-02 22:35:00
Кишертский МО,Аварии на электроэнергетических системах ,2015-02-02 23:30:00
Лысьвенский ГО ,Аварии на электроэнергетических системах ,2015-02-03 00:10:00
Кунгурский МО ,Аварии на электроэнергетических системах ,2015-02-03 02:00:00
Пермский МО ,Аварии на электроэнергетических системах ,2015-02-03 02:15:00
Кишертский МО,Аварии на электроэнергетических системах ,2015-02-03 02:30:00
Добрянский ГО ,Аварии на электроэнергетических системах ,2015-02-03 06:30:00
Уинский МО ,Аварии на электроэнергетических системах ,2015-02-03 06:45:00
Куединский МО ,Аварии на электроэнергетических системах ,2015-02-03 06:45:00
Суксунский ГО ,Аварии на электроэнергетических системах ,2015-02-03 07:00:00
Оханский ГО,Аварии на электроэнергетических системах ,2015-02-03 08:33:00
Верещагинский ГО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-03 09:40:00
Верещагинский ГО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-03 09:40:00
Кишертский МО,Аварии на электроэнергетических системах ,2015-02-04 10:30:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2015-02-04 13:37:00
Оханский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-02-04 18:07:00
Горнозаводский ГО ,Пожар с гибелью 2-х и более человек ,2015-02-06 05:57:00
Кунгурский МО ,Переувлажнение почвы ,2015-02-06 11:38:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2015-02-06 18:00:00
ГО город Березники ,Пожар с гибелью 2-х и более человек ,2015-02-07 14:38:00
