year,month,day,t
2017,январь,24,-17.0
2018,январь,24,-12.0
2019,январь,24,-22.0
2020,январь,24,-9.0
2021,январь,24,-14.0
2022,январь,24,-8.0
2023,январь,24,-9.0
среднемноголетняя температура,январь,25,-14.142857142857142
2009,январь,25,-6.0
2010,январь,25,-21.0
2011,январь,25,-19.0
2012,январь,25,-21.0
2013,январь,25,-15.0
2014,январь,25,-24.0
2015,январь,25,-12.0
2016,январь,25,-12.0
2017,январь,25,-22.0
2018,январь,25,-10.0
2019,январь,25,-16.0
2020,январь,25,-8.0
2021,январь,25,-2.0
2022,январь,25,-10.0
2023,январь,25,-9.0
среднемноголетняя температура,январь,26,-15.071428571428571
2009,январь,26,-4.0
2010,январь,26,-17.0
2011,январь,26,-15.0
2012,январь,26,-24.0
2013,январь,26,-18.0
2014,январь,26,-25.0
2015,январь,26,-13.0
2016,январь,26,-15.0
2017,январь,26,-25.0
2018,январь,26,-12.0
2019,январь,26,-21.0
2020,январь,26,-9.0
2021,январь,26,-1.0
2022,январь,26,-12.0
2023,январь,26,-6.0
среднемноголетняя температура,январь,27,-14.107142857142858
2009,январь,27,-6.0
2010,январь,27,-18.0
2011,январь,27,-7.0
2012,январь,27,-23.0
2013,январь,27,-19.0
2014,январь,27,-23.0
2015,январь,27,-12.0
2016,январь,27,-17.0
2017,январь,27,-15.0
2018,январь,27,-11.0
2019,январь,27,-21.0
2020,январь,27,-12.0
2021,январь,27,-2.0
2022,январь,27,-11.5
2023,январь,27,-4.0
среднемноголетняя температура,январь,28,-15.464285714285714
2009,январь,28,-7.0
2010,январь,28,-24.0
2011,январь,28,-13.0
2012,январь,28,-20.0
2013,январь,28,-15.0
2014,январь,28,-27.0
2015,январь,28,-10.0
2016,январь,28,-20.0
2017,январь,28,-12.0
2018,январь,28,-12.0
2019,январь,28,-15.0
2020,январь,28,-21.0
2021,январь,28,-5.5
2022,январь,28,-15.0
2023,январь,28,-6.0
среднемноголетняя температура,январь,29,-16.285714285714285
2009,январь,29,-16.0
2010,январь,29,-18.0
2011,январь,29,-13.0
2012,январь,29,-22.0
2013,январь,29,-10.0
2014,январь,29,-36.0
2015,январь,29,-10.0
2016,январь,29,-18.0
2017,январь,29,-17.0
2018,январь,29,-13.0
2019,январь,29,-15.0
2020,январь,29,-20.0
2021,январь,29,-7.0
2022,январь,29,-13.0
2023,январь,29,-8.0
среднемноголетняя температура,январь,30,-14.714285714285714
2009,январь,30,-20.0
2010,январь,30,-16.0
2011,январь,30,-8.0
2012,январь,30,-18.0
2013,январь,30,-9.0
2014,январь,30,-35.0
2015,январь,30,-10.0
2016,январь,30,-7.0
2017,январь,30,-16.0
2018,январь,30,-15.0
2019,январь,30,-18.0
2020,январь,30,-17.0
2021,январь,30,-4.0
2022,январь,30,-13.0
2023,январь,30,-8.0
среднемноголетняя температура,январь,31,-11.153846153846153
2009,январь,31,-17.0
2010,январь,31,-15.0
2011,январь,31,-7.0
2012,январь,31,-21.0
2013,январь,31,-8.0
2014,январь,31,
2015,январь,31,-10.0
2016,январь,31,-4.0
2017,январь,31,-20.0
2018,январь,31,-12.0
2019,январь,31,-12.0
2020,январь,31,-4.0
2021,январь,31,-5.0
2022,январь,31,-10.0
2023,январь,31,-6.0
среднемноголетняя температура,ферваль,1,-12.428571428571429
2009,ферваль,1,-25.0
2010,ферваль,1,-30.0
2011,ферваль,1,-17.0
2012,ферваль,1,-21.0
2013,ферваль,1,-14.0
2014,ферваль,1,-18.0
2015,ферваль,1,-5.0
2016,ферваль,1,-2.0
2017,ферваль,1,-10.0
2018,ферваль,1,-17.0
2019,ферваль,1,-6.0
2020,ферваль,1,-3.0
2021,ферваль,1,-3.0
2022,ферваль,1,-3.0
2023,ферваль,1,-4.0
среднемноголетняя температура,ферваль,2,-10.928571428571429
2009,ферваль,2,-16.0
2010,ферваль,2,-22.0
2011,ферваль,2,-17.0
2012,ферваль,2,-23.0
2013,ферваль,2,-9.0
2014,ферваль,2,-20.0
2015,ферваль,2,-4.0
2016,ферваль,2,1.0
2017,ферваль,2,-14.0
2018,ферваль,2,-12.0
2019,ферваль,2,-7.0
2020,ферваль,2,-4.0
2021,ферваль,2,-4.0
2022,ферваль,2,-2.0
2023,ферваль,2,-10.0
среднемноголетняя температура,ферваль,3,-10.5
2009,ферваль,3,-4.0
2010,ферваль,3,-21.0
2011,ферваль,3,-19.0
2012,ферваль,3,-19.0
2013,ферваль,3,-6.0
2014,ферваль,3,-13.0
2015,ферваль,3,0.0
2016,ферваль,3,0.0
2017,ферваль,3,-17.0
2018,ферваль,3,-12.0
2019,ферваль,3,-19.0
2020,ферваль,3,-3.0
2021,ферваль,3,-11.0
2022,ферваль,3,-3.0
2023,ферваль,3,-6.0
среднемноголетняя температура,ферваль,4,-9.928571428571429
2009,ферваль,4,-7.0
2010,ферваль,4,-15.0
2011,ферваль,4,-15.0
2012,ферваль,4,-15.0
2013,ферваль,4,-4.0
2014,ферваль,4,-12.0
2015,ферваль,4,-2.0
2016,ферваль,4,-2.0
2017,ферваль,4,-20.0
2018,ферваль,4,-7.0
2019,ферваль,4,-26.0
2020,ферваль,4,0.0
2021,ферваль,4,-10.0
2022,ферваль,4,-4.0
2023,ферваль,4,-9.0
среднемноголетняя температура,ферваль,5,-10.107142857142858
2009,ферваль,5,-10.0
2010,ферваль,5,-17.0
2011,ферваль,5,-13.0
2012,ферваль,5,-16.0
2013,ферваль,5,-2.0
2014,ферваль,5,-19.0
2015,ферваль,5,-5.0
2016,ферваль,5,0.0
2017,ферваль,5,-15.0
2018,ферваль,5,-7.0
2019,ферваль,5,-29.0
2020,ферваль,5,-4.0
2021,ферваль,5,-1.5
2022,ферваль,5,-3.0
2023,ферваль,5,-11.0
среднемноголетняя температура,ферваль,6,-13.071428571428571
2009,ферваль,6,-30.0
2010,ферваль,6,-19.0
2011,ферваль,6,-10.0
2012,ферваль,6,-19.0
2013,ферваль,6,-2.0
2014,ферваль,6,-20.0
2015,ферваль,6,-15.0
2016,ферваль,6,-4.0
2017,ферваль,6,-24.0
2018,ферваль,6,-7.0
2019,ферваль,6,-18.0
2020,ферваль,6,-8.0
2021,ферваль,6,0.0
2022,ферваль,6,-7.0
2023,ферваль,6,-11.0
среднемноголетняя температура,ферваль,7,-14.357142857142858
2009,ферваль,7,-25.0
2010,ферваль,7,-18.0
2011,ферваль,7,-9.0
2012,ферваль,7,-17.0
2013,ферваль,7,-1.0
2014,ферваль,7,-20.0
2015,ферваль,7,-17.0
2016,ферваль,7,-4.0
2017,ферваль,7,-23.0
2018,ферваль,7,-9.0
2019,ферваль,7,-15.0
2020,ферваль,7,-14.0
2021,ферваль,7,-17.0
2022,ферваль,7,-12.0
2023,ферваль,7,-14.0
среднемноголетняя температура,ферваль,8,-14.285714285714286
2009,ферваль,8,-19.0
2010,ферваль,8,-19.0
2011,ферваль,8,-12.0
2012,ферваль,8,-15.0
2013,ферваль,8,-1.0
2014,ферваль,8,-18.0
2015,ферваль,8,-18.0
2016,ферваль,8,-5.0
2017,ферваль,8,-25.0
2018,ферваль,8,-7.0
2019,ферваль,8,-9.0
2020,ферваль,8,-15.0
2021,ферваль,8,-23.0
2022,ферваль,8,-14.0
2023,ферваль,8,-12.0
среднемноголетняя температура,ферваль,9,-14.857142857142858
2009,ферваль,9,-9.0
2010,ферваль,9,-18.0
2011,ферваль,9,-18.0
2012,ферваль,9,-18.0
2013,ферваль,9,-3.0
2014,ферваль,9,-12.0
2015,ферваль,9,-11.0
2016,ферваль,9,-9.0
2017,ферваль,9,-21.0
2018,ферваль,9,-11.0
2019,ферваль,9,-15.0
2020,ферваль,9,-23.0
2021,ферваль,9,-26.0
2022,ферваль,9,-14.0
2023,ферваль,9,-5.0
среднемноголетняя температура,ферваль,10,-11.928571428571429
2009,ферваль,10,-6.0
2010,ферваль,10,-13.0
2011,ферваль,10,-22.0
2012,ферваль,10,-19.0
2013,ферваль,10,-4.0
2014,ферваль,10,-8.0
2015,ферваль,10,-10.0
2016,ферваль,10,-5.0
2017,ферваль,10,-23.0
2018,ферваль,10,-9.0
2019,ферваль,10,-3.0
2020,ферваль,10,-12.0
2021,ферваль,10,-27.0
2022,ферваль,10,-6.0
2023,ферваль,10,-3.0
среднемноголетняя температура,ферваль,11,-11.714285714285714
2009,ферваль,11,-6.0
2010,ферваль,11,-17.0
2011,ферваль,11,-16.0
2012,ферваль,11,-14.0
2013,ферваль,11,-5.0
2014,ферваль,11,-8.0
2015,ферваль,11,-8.0
2016,ферваль,11,-3.0
2017,ферваль,11,-25.0
2018,ферваль,11,-10.0
2019,ферваль,11,-7.0
2020,ферваль,11,-7.0
2021,ферваль,11,-30.0
2022,ферваль,11,-8.0
2023,ферваль,11,-5.0
среднемноголетняя температура,ферваль,12,-10.535714285714286
2009,ферваль,12,-2.0
2010,ферваль,12,-17.0
2011,ферваль,12,-30.0
2012,ферваль,12,-14.0
2013,ферваль,12,-5.0
2014,ферваль,12,-12.0
2015,ферваль,12,0.0
2016,ферваль,12,-5.0
2017,ферваль,12,-15.0
2018,ферваль,12,-12.0
2019,ферваль,12,-7.0
2020,ферваль,12,-4.0
2021,ферваль,12,-20.0
2022,ферваль,12,-4.5
2023,ферваль,12,-5.0
среднемноголетняя температура,ферваль,13,-10.357142857142858
2009,ферваль,13,-4.0
2010,ферваль,13,-12.0
2011,ферваль,13,-31.0
2012,ферваль,13,-15.0
2013,ферваль,13,-5.0
2014,ферваль,13,-13.0
2015,ферваль,13,0.0
2016,ферваль,13,-7.0
2017,ферваль,13,-7.0
2018,ферваль,13,-16.0
2019,ферваль,13,-9.0
2020,ферваль,13,-12.0
2021,ферваль,13,-10.0
2022,ферваль,13,-4.0
2023,ферваль,13,-8.0
среднемноголетняя температура,ферваль,14,-10.428571428571429
2009,ферваль,14,-4.0
2010,ферваль,14,-15.0
2011,ферваль,14,-25.0
2012,ферваль,14,-17.0
2013,ферваль,14,-5.0
2014,ферваль,14,-14.0
2015,ферваль,14,-6.0
2016,ферваль,14,-5.0
2017,ферваль,14,-8.0
2018,ферваль,14,-10.0
2019,ферваль,14,-7.0
2020,ферваль,14,-7.0
2021,ферваль,14,-13.0
2022,ферваль,14,-10.0
2023,ферваль,14,-5.0
среднемноголетняя температура,ферваль,15,-10.571428571428571
2009,ферваль,15,-5.0
2010,ферваль,15,-11.0
2011,ферваль,15,-27.0
2012,ферваль,15,-16.0
2013,ферваль,15,-9.0
2014,ферваль,15,-8.0
2015,ферваль,15,-7.0
2016,ферваль,15,-5.0
2017,ферваль,15,-13.0
2018,ферваль,15,-8.0
2019,ферваль,15,-9.0
2020,ферваль,15,-9.0
2021,ферваль,15,-14.0
2022,ферваль,15,-7.0
2023,ферваль,15,-7.0
среднемноголетняя температура,ферваль,16,-9.821428571428571
2009,ферваль,16,-2.0
2010,ферваль,16,-10.0
2011,ферваль,16,-29.0
2012,ферваль,16,-17.0
2013,ферваль,16,-8.0
2014,ферваль,16,-5.0
2015,ферваль,16,-5.0
2016,ферваль,16,-3.0
2017,ферваль,16,-12.0
2018,ферваль,16,-6.0
2019,ферваль,16,-6.0
2020,ферваль,16,-7.0
2021,ферваль,16,-21.0
2022,ферваль,16,-6.5
2023,ферваль,16,-11.0
среднемноголетняя температура,ферваль,17,-12.714285714285714
2009,ферваль,17,-3.0
2010,ферваль,17,-20.0
2011,ферваль,17,-30.0
2012,ферваль,17,-18.0
2013,ферваль,17,-9.0
2014,ферваль,17,-3.0
2015,ферваль,17,-19.0
2016,ферваль,17,-5.0
2017,ферваль,17,-16.0
2018,ферваль,17,-7.0
2019,ферваль,17,-7.0
2020,ферваль,17,-9.0
2021,ферваль,17,-22.0
2022,ферваль,17,-10.0
2023,ферваль,17,-11.0
среднемноголетняя температура,ферваль,18,-11.714285714285714
2009,ферваль,18,-2.0
2010,ферваль,18,-31.0
2011,ферваль,18,-25.0
2012,ферваль,18,-19.0
2013,ферваль,18,-10.0
2014,ферваль,18,-3.0
2015,ферваль,18,-15.0
2016,ферваль,18,-4.0
2017,ферваль,18,-10.0
2018,ферваль,18,-10.0
